"filename", "language", "Python", "comment", "blank", "total"
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/__init__.py", "Python", 0, 0, 1, 1
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/admin.py", "Python", 35, 2, 14, 51
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/apps.py", "Python", 7, 1, 4, 12
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/management/commands/import_professors.py", "Python", 48, 3, 11, 62
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/management/commands/import_students.py", "Python", 36, 4, 8, 48
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0001_initial.py", "Python", 74, 1, 7, 82
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0002_student_name_fk_search.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0003_student_avatar.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0004_alter_student_resume.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0005_student_postgraduate_type.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0006_alter_student_postgraduate_type.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0007_auto_20230827_1101.py", "Python", 16, 1, 6, 23
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0008_auto_20230829_0543.py", "Python", 27, 1, 6, 34
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0009_auto_20230912_1751.py", "Python", 17, 1, 6, 24
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0010_auto_20230913_0206.py", "Python", 22, 1, 6, 29
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0011_alter_professor_personal_page.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0012_auto_20230925_1229.py", "Python", 22, 1, 6, 29
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0013_alter_student_major_direction.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0014_alter_student_major_direction.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0015_auto_20230925_1429.py", "Python", 57, 1, 6, 64
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0016_department_used_quota.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0017_auto_20230925_1615.py", "Python", 47, 1, 6, 54
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0018_auto_20230925_1615.py", "Python", 17, 1, 6, 24
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0019_auto_20230925_1618.py", "Python", 17, 1, 6, 24
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0020_auto_20230925_1619.py", "Python", 15, 1, 6, 22
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0021_auto_20230925_1626.py", "Python", 34, 1, 6, 41
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0022_auto_20230925_1632.py", "Python", 34, 1, 6, 41
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0023_auto_20240227_0600.py", "Python", 26, 1, 6, 33
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0024_auto_20240227_0601.py", "Python", 17, 1, 6, 24
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0025_alter_student_name.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0026_auto_20240304_0500.py", "Python", 27, 1, 6, 34
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0027_laboratory.py", "Python", 21, 1, 6, 28
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0028_auto_20240304_0841.py", "Python", 17, 1, 6, 24
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0029_laboratory_laboratory_leader.py", "Python", 13, 1, 6, 20
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0030_laboratory_laboratory_member.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0031_remove_laboratory_laboratory_member.py", "Python", 11, 1, 6, 18
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0032_wechataccount.py", "Python", 18, 1, 6, 25
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0033_auto_20240305_1350.py", "Python", 23, 1, 6, 30
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0034_alter_wechataccount_session_key.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0035_subject.py", "Python", 21, 1, 6, 28
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0036_auto_20240305_1420.py", "Python", 17, 1, 6, 24
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0037_auto_20240305_1440.py", "Python", 25, 1, 6, 32
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0038_rename_subject_name_subject_subject_designation.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0039_rename_subject_subjectmanage.py", "Python", 11, 1, 6, 18
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0040_auto_20240305_1505.py", "Python", 16, 1, 6, 23
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0041_auto_20240306_0553.py", "Python", 34, 1, 6, 41
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0042_auto_20240306_0610.py", "Python", 17, 1, 6, 24
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0043_alter_student_postgraduate_type.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0044_professor_enroll_subject.py", "Python", 13, 1, 6, 20
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/0045_professor_contact_details.py", "Python", 12, 1, 6, 19
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/migrations/__init__.py", "Python", 0, 0, 1, 1
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/models.py", "Python", 89, 10, 20, 119
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/serializers.py", "Python", 58, 3, 28, 89
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/signals.py", "Python", 24, 4, 2, 30
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/tests.py", "Python", 1, 1, 2, 4
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/urls.py", "Python", 17, 3, 2, 22
"/Users/zhujian/Documents/GitHub/ciee-miniprogram/Professor_Student_Manage/views.py", "Python", 198, 23, 60, 281
"Total", "-", 1419, 99, 424, 1942
