姓名,工号,招生方向,方向审核人,照片下载地址,排序
李道亮,99519,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/ab/9d/7fac2fd34bf4bb8d1a017e469bd9/b1cfc5e3-c7e1-4f09-bb5e-156f8a435dcc_s.jpg,1
刘刚,3015,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/a3/3f/a64c50214b3a9aee5703ed58496b/9f7b28a0-38f4-4405-b205-a57af689c2f3_s.jpg,2
林建涵,201281,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/40/22/163aebc942b4ac4b274b336da3a7/341551ea-fd0d-466a-8835-1f0bc791da40_s.jpg,3
张漫,3090,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/11/e5/641f3c574dd58f28db22a7db5b49/024b4a76-2f26-4b4f-8ec0-e2d8d835b865_s.jpg,4
孙红,201129,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/02/c0/a2539d2b4993a0661a552058631e/ea5e8bcc-3933-47b6-9d0e-bd2e41585cb7_s.jpg,5
王忠义,94066,农业工程,1,http://faculty.cau.edu.cn/_upload/article/images/a6/ac/25a4a98d44b3b54b2c08c666780b/8146bd42-4740-4866-84dc-b238f3343dbf_s.png,6
张瑶,2019138,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/b2/29/cef4ee2941bc9ed63238d5340f37/f2732a33-ba9e-4f83-99df-0ea2538997da_s.png,17
张昭,2021156,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/b4/5e/abdcd0b44c63a152590939b840d5/4851504f-6947-4394-8eb5-4af438128f82_s.jpg,7
王洋,2018003,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/b5/62/9f5e9fe5481e841555848af623c4/09a0fb63-d788-41a5-aca4-c7c45c7a9a91_s.jpg,8
杨玮,2014004,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/0a/84/727fab944b9fa321b4ba71dfc923/fe9067d6-431b-4232-84ca-98af91ee92c4_s.jpg,9
程强,2014020,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/6d/19/1e95d6a44141a7062fa597418779/afb6ae4a-f806-41f7-85a4-50dd141d030a_s.jpg,10
李寒,2016037,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/99/dd/6c6f0d6d40d996ebe02d6209ba83/58bfbf63-7186-4d6a-a0ef-defdf0c4b03f_s.jpg,11
李军会,1034,农业工程,0,http://faculty.cau.edu.cn/_upload/article/images/a3/67/f7dc333e4b35bd346fdfcd4cd191/66c6e010-d477-4442-b314-8fddbc2b7cf2_s.jpg,12
